Entity,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Myanmar,17731816,18053722,18391996,18749632,19126432,19522788,19935520,20363516,20801172,21252048,21720702,22203106,22699698,23210688,23737822,24286880,24854706,25440032,26044118,26659482,27284118,27914954,28551956,29165356,29751938,30344282,30941380,31554606,32185602,32821776,33465782,34110096,34742592,35424268,36159844,36881024,37572344,38233172,38868272,39489416,40099556,40680540,41237808,41788304,42337112,42880188,43423376,43972060,44516188,45041644,45538340,46014828,46480236,46924296,47338444,47724472,48088276,48445652,48729480,49015836,49390988,49794528,50218196,50648336,51072436,51483956,51892352,52288344,52666016,53040212,53423200,53798088,54179312
Namibia,514785,520842,527160,533762,540490,547433,554705,562460,570851,580043,590188,601434,613816,627367,642057,657894,674821,693068,712434,732889,754475,777008,800615,824927,850094,876579,901846,926115,942022,957343,975998,987404,1005527,1033091,1061999,1093318,1127991,1165435,1207959,1288077,1369016,1415624,1461694,1509848,1558459,1605382,1650077,1693248,1735959,1778280,1819148,1856406,1888531,1915432,1939405,1962874,1986568,2011492,2038556,2067928,2099275,2132343,2167474,2204517,2243008,2282709,2323351,2364540,2405682,2446648,2489099,2530150,2567024
Nauru,3374,3425,3534,3623,3721,3835,3984,4136,4282,4435,4604,4776,4972,5221,5507,5825,6037,6135,6311,6528,6682,6800,6904,7013,7114,7218,7329,7462,7561,7607,7652,7714,7694,7853,8148,8335,8554,8783,9042,9327,9620,9925,10152,10249,10294,10336,10370,10386,10400,10405,10400,10385,10375,10365,10356,10337,10318,10289,10267,10255,10262,10303,10464,10719,10965,11207,11463,11708,11949,12156,12339,12533,12691
Nepal,8398952,8579837,8759893,8936491,9110779,9284902,9458905,9633244,9805028,9980683,10167941,10365144,10570725,10782719,11002820,11232952,11470202,11715586,11970408,12231875,12501288,12774872,13052224,13335966,13626308,13925542,14230741,14550429,14888778,15238564,15600443,15969796,16347124,16740666,17141612,17540576,17936924,18326202,18720746,19145078,19616528,20130774,20702138,21267356,21794756,22305572,22783972,23249422,23703330,24143162,24559504,24956070,25332178,25682912,26003970,26285112,26518974,26713652,26881542,27026952,27161572,27266398,27330696,27381558,27462110,27610328,27861186,28183424,28506718,28832500,29348626,30034988,30547586
Netherlands,10093555,10226297,10361806,10497301,10631384,10767911,10905351,11046127,11191758,11341766,11493124,11647374,11803461,11958417,12117832,12275797,12426790,12576971,12727200,12881251,13037686,13186716,13324182,13447575,13560532,13663970,13760114,13855560,13949415,14040286,14130383,14217323,14296533,14369651,14441930,14515705,14592526,14675302,14762321,14850230,14944550,15046578,15150688,15251088,15349481,15446670,15538617,15629912,15722601,15812491,15899138,15981630,16057042,16127574,16196036,16261834,16325679,16391232,16460775,16536200,16617121,16701470,16785296,16867352,16954080,17041110,17124512,17207204,17286042,17363260,17434562,17501696,17564020
Netherlands Antilles,173364,,,,,,,,,,208884,,,,,,,,,,246870,,,,,,,,,,269526,,,,,,,,,,295861,,,,,,,,,,280398,283512,286625,289739,292853,295966,299080,302193,305307,308420,311534,312928,314322,315716,317110,318504,319898,321292,,,,,
New Caledonia,63884,64964,66112,67331,68629,69998,71615,73681,76064,78588,81258,84045,86897,89642,92246,94818,97462,100213,103173,106712,111000,115810,120882,126128,131487,136612,140687,143377,145273,146963,148611,150242,151982,154116,156763,159718,162808,166074,169492,173170,177280,181731,186281,190793,195277,199717,204101,208431,212771,217134,221548,225999,230410,234693,238656,242147,245647,249378,253090,256988,261435,266312,271315,276404,280805,283041,283753,284358,284887,285374,286412,287809,289959
New Zealand,1911611,1952129,1998954,2048963,2096338,2140979,2186348,2235324,2286562,2335013,2381191,2431619,2486311,2540032,2590656,2638319,2684362,2725199,2756420,2786359,2824068,2868891,2920886,2980643,3042806,3095434,3127819,3141172,3143303,3142535,3147166,3160621,3185723,3219831,3250341,3268360,3281673,3299449,3316005,3333753,3397388,3481606,3532568,3573739,3620893,3673899,3728460,3775853,3810047,3833496,3855266,3889587,3948582,4019944,4081415,4132782,4179986,4221495,4260235,4302884,4346345,4381274,4410285,4450641,4514198,4590591,4668088,4746253,4838528,4959033,5061130,5129730,5185289
Nicaragua,1330447,1369717,1409854,1451491,1494687,1539557,1586177,1634515,1684597,1736403,1789695,1844635,1901456,1960158,2020948,2084104,2150006,2219007,2291304,2366638,2444776,2525485,2603188,2682751,2769211,2857464,2947459,3038689,3128550,3214316,3303310,3397663,3491908,3584608,3674509,3763036,3852022,3941466,4033290,4129449,4227824,4327293,4427177,4526690,4625260,4721932,4812391,4895964,4974551,5049885,5123223,5192765,5259017,5323064,5386220,5454680,5529811,5607460,5687752,5770649,5855736,5942554,6030605,6119377,6208680,6298610,6389237,6480534,6572234,6663919,6755900,6850546,6948395
Niger,2569201,2659702,2749574,2838986,2928436,3018553,3109795,3202653,3297847,3395951,3497438,3602538,3711068,3822703,3937013,4053531,4172506,4294286,4417957,4542998,4669707,4797069,4926325,5059388,5196585,5339497,5488666,5644706,5810358,5987157,6173179,6366270,6564456,6766616,6973850,7187622,7408370,7636591,7872257,8116080,8370650,8634640,8907642,9193081,9493322,9813920,10149939,10494203,10854919,11231469,11622673,12031431,12456520,12900793,13366889,13855225,14365171,14897877,15455181,16037917,16647545,17283118,17954410,18653204,19372012,20128132,20921748,21737924,22577060,23443400,24333644,25252722,26207982
Nigeria,37189376,37903172,38624424,39347724,40082480,40839224,41616580,42413364,43214756,44044232,44928336,45855508,46821856,47822572,48856336,49925800,51020304,52106684,53210124,54360756,55569268,56837616,58173832,59605448,61157940,62851316,64658312,66589656,68633344,70750312,72951440,75175392,77388072,79351592,81337552,83585256,85804192,88044192,90351464,92744064,95214256,97685360,100182048,102775472,105456120,108187616,110956184,113791184,116690528,119695568,122851984,126152680,129583032,133119808,136756848,140490720,144329760,148294032,152382512,156595744,160952864,165463744,170075936,174726128,179379024,183995776,188666928,193495904,198387616,203304496,208327408,213401328,218541216
Niue,4509,4581,4643,4660,4669,4695,4727,4776,4825,4868,4897,4935,5010,5109,5222,5336,5433,5445,5381,5299,5206,5101,4945,4742,4518,4293,4074,3935,3853,3757,3659,3553,3419,3246,3059,2870,2704,2627,2607,2587,2560,2520,2483,2439,2396,2362,2323,2282,2230,2167,2096,2038,1990,1952,1914,1881,1857,1846,1847,1841,1838,1833,1833,1846,1858,1871,1883,1891,1907,1943,1963,1957,1952
North America,217078493,220921951,225040618,229381691,234024926,238891598,243833832,248844412,254195090,259556906,264916376,269992478,275281702,280538351,285767926,290870105,295724864,300431421,305159077,310053134,315691695,321049543,326320039,331321157,336273223,341300296,346309935,351506528,357016142,362654436,368574942,373589053,378615781,383734903,388847666,393949236,399045023,404153729,409453275,415061982,421575397,427934509,434703257,441450384,448069901,454557639,460925637,467334865,473719801,479976626,486364446,492319208,498067243,503641588,509273976,514942529,520586895,526315123,532006442,537567761,543052879,548684151,554435782,560056144,565486685,570726015,576008328,581258143,585864285,590497015,594263186,597123384,600323657
North Korea,11103386,10557969,10228064,10147606,10206243,10360274,10552186,10802110,11106861,11391383,11655668,11916512,12180506,12475236,12787529,13105948,13444052,13821411,14216305,14605482,14996881,15381625,15768368,16128127,16437012,16723254,16987170,17231392,17472096,17719176,17973654,18235208,18502090,18771366,19045158,19325494,19613038,19903900,20197470,20494968,20799522,21115534,21439992,21773020,22105230,22385538,22614348,22827378,23023642,23204504,23367064,23512524,23638414,23781706,23948936,24100980,24235764,24356508,24469050,24581508,24686436,24783790,24887770,25001824,25126140,25258012,25389614,25516318,25638152,25755442,25867474,25971910,26069416
North Macedonia,1251437,1282535,1311489,1339586,1361963,1379146,1395504,1411822,1428609,1445691,1462373,1481115,1497344,1511858,1529508,1547983,1567712,1588644,1610542,1633508,1656789,1679018,1701503,1725235,1749334,1774013,1799338,1825303,1851984,1879359,1907035,1935204,1958278,1974443,1988692,2001507,2012925,2023098,2031937,2039429,2044181,2036691,2018024,1996896,1982458,1983971,1994230,2004240,2012844,2023781,2037940,2053391,2064739,2071150,2075879,2078667,2081081,2083494,2086228,2089793,2093828,2097110,2099486,2102220,2105293,2107965,2110194,2111982,2113497,2114175,2111078,2103329,2093606
Northern Mariana Islands,7083,7151,7235,7354,7492,7659,7837,8027,8255,8482,8721,8984,9274,9584,9910,10248,10597,10740,10462,9973,10166,11302,12754,14112,14924,15291,15618,15928,16212,16515,17637,19925,22668,25613,28760,32062,35482,38947,42402,45879,48021,48314,48146,47965,47808,48736,53387,60838,68516,76256,80353,79495,77177,74646,71917,69045,66078,63068,60047,57073,54109,52542,52383,52157,51878,51538,51151,50752,50328,49880,49611,49503,49574
Norway,3281428,3296349,3328323,3361502,3394899,3429096,3461610,3492505,3523483,3553264,3581521,3609997,3639139,3666801,3694674,3723510,3753077,3784346,3816299,3847527,3875550,3902912,3933047,3960705,3985381,4007471,4026317,4043365,4058804,4072652,4085778,4099860,4114936,4128576,4140232,4152640,4167465,4187034,4209655,4227072,4241637,4261886,4286560,4312138,4336745,4359327,4381511,4405334,4431672,4462148,4491204,4514019,4538435,4565167,4592284,4623691,4661081,4709582,4768654,4829195,4889747,4953565,5019058,5080667,5137926,5190357,5236591,5277396,5312321,5348285,5379836,5403021,5434324
Oceania,12578030,12910351,13224304,13522000,13819174,14140071,14479634,14820933,15162130,15506698,15859743,16213869,16557077,16899883,17248725,17609458,17976052,18320665,18657991,19020565,19480682,20023056,20481057,20852770,21213318,21537776,21820768,22089877,22356009,22623402,22920632,23268830,23646422,24011447,24357734,24704912,25069550,25459682,25868614,26286142,26744211,27214477,27637470,28038745,28455275,28905477,29379071,29846703,30299542,30753529,31223133,31714944,32230343,32756845,33278789,33813365,34395875,35044174,35745111,36448615,37103109,37730469,38383766,39057783,39729340,40403644,41101240,41817267,42540030,43278474,43933757,44492065,45038860
Oman,457321,463731,470407,477409,484747,492428,500453,508861,517715,527035,536556,546456,557143,568611,580834,593816,607540,622048,637385,653603,670697,688810,708057,728604,754684,787204,824089,866134,912754,963355,1017473,1075632,1138303,1204630,1273313,1353298,1443449,1533352,1623437,1713845,1804528,1895193,1985234,2071874,2133678,2172681,2209965,2245591,2279727,2312608,2344261,2374655,2403663,2431603,2468860,2515202,2560652,2605706,2651032,2697543,2881915,3206883,3535585,3816688,4009272,4191784,4398080,4541853,4601160,4602769,4543406,4520474,4576300
Pakistan,37696264,38215788,38816780,39488232,40224096,41023128,41884992,42808516,43794992,44843640,45954228,47060912,48161844,49325052,50552600,51841628,53199420,54629796,56124740,57676804,59290872,60878784,62509568,64285632,66149172,68127000,70230928,72451112,74789328,77407344,80624056,84270208,87828200,91080376,94003880,97121552,100618520,104251096,107967840,111670392,115414072,119203576,122375176,125546624,129245136,133117480,137234816,141330272,145476112,149694464,154369920,159217728,163262800,166876672,170648624,174372096,178069984,181924528,185931952,190123232,194454496,198602736,202205856,205337552,208251632,210969296,213524848,216379648,219731488,223293280,227196736,231402112,235824864
Palau,7451,7554,7663,7822,8035,8278,8540,8815,9073,9284,9470,9658,9873,10099,10343,10584,10834,11013,11101,11186,11394,11762,12195,12566,12690,12628,12559,12488,12409,12324,12279,12407,12689,13000,13322,13668,14010,14335,14653,14980,15318,15665,16030,16399,16797,17233,17759,18323,18869,19402,19745,19852,19875,19904,19927,19853,19645,19383,19121,18848,18563,18260,17974,17829,17821,17822,17840,17857,17887,17939,17999,18050,18084
Palestine,944814,953416,962914,973337,984740,997124,1010500,1024874,1040256,1056630,1073847,1091756,1110236,1128444,1141754,1148518,1147758,1137361,1123472,1114952,1118247,1136151,1166855,1195405,1225369,1263711,1300918,1337324,1374130,1412636,1453631,1497550,1546097,1604103,1674190,1731093,1775272,1862775,1963258,2041388,2124623,2214277,2310004,2410651,2515166,2623149,2734003,2847222,2950926,3044490,3139950,3230085,3309493,3384195,3460130,3541198,3627671,3717882,3808824,3899401,3992283,4087747,4184161,4281800,4380473,4484615,4593855,4700954,4805549,4909775,5019407,5133393,5250076
Panama,861090,882717,905592,929511,954310,980011,1006765,1034748,1064038,1094750,1126996,1160833,1196295,1233266,1271465,1310561,1350474,1391075,1432269,1473973,1516194,1559084,1602657,1646584,1690680,1734882,1779041,1823150,1867313,1911822,1956989,2003091,2050251,2098504,2147580,2197070,2246965,2297235,2347826,2398536,2449966,2502048,2554387,2607502,2661393,2716071,2771607,2827994,2885179,2943124,3001738,3061029,3120993,3181620,3243310,3305875,3368577,3431619,3495284,3559339,3623622,3688679,3754871,3821557,3888795,3957102,4026338,4096071,4165258,4232538,4294391,4351264,4408582
Papua New Guinea,1542863,1574119,1608477,1648005,1690230,1734929,1782057,1831056,1881524,1933071,1985668,2035681,2082569,2129236,2175418,2222184,2271502,2322651,2375364,2430929,2489072,2549326,2610707,2672152,2733320,2794470,2855845,2917577,2979620,3041904,3104793,3169080,3235271,3303686,3374469,3447582,3522921,3600351,3679653,3764116,3864983,3991006,4136651,4291592,4451695,4616444,4785908,4960444,5138838,5321393,5508300,5698496,5892600,6090987,6293174,6498828,6708217,6921069,7137999,7358887,7583269,7806637,8026548,8245634,8464159,8682172,8899176,9114803,9329233,9542492,9749641,9949438,10142625
Paraguay,1504818,1539192,1574425,1610544,1647636,1685755,1724944,1765325,1807027,1850149,1894835,1941220,1989376,2039395,2090847,2143163,2195951,2248894,2301896,2355132,2408789,2463782,2521512,2583164,2648085,2714669,2782626,2852437,2924373,2999426,3078914,3163309,3251679,3343279,3437897,3535505,3636030,3739057,3844442,3951286,4059198,4168005,4277057,4386206,4495301,4603924,4711656,4818292,4923454,5026035,5123817,5211540,5286515,5353260,5416327,5476881,5534682,5590148,5645155,5702579,5768618,5843938,5923327,6005656,6090727,6177954,6266623,6355406,6443337,6530029,6618700,6703802,6780745
Peru,7678967,7897488,8121460,8349467,8583405,8825900,9077051,9336911,9602512,9879211,10172210,10478101,10792101,11112671,11442302,11781584,12127988,12481624,12843253,13213738,13562372,13911970,14292440,14674787,15057182,15441500,15826812,16224614,16638483,17059192,17492406,17932348,18374372,18826906,19285646,19746614,20208446,20671362,21143804,21624308,22109102,22583004,23047250,23513888,23983260,24449060,24907304,25365384,25818228,26252238,26654440,27014912,27334510,27623344,27893914,28147260,28381080,28600380,28806184,29009326,29229576,29477722,29749592,30038810,30353956,30711864,31132776,31605488,32203946,32824864,33304768,33715464,34049588
Philippines,18469880,19301122,20167868,21073750,22025360,23027910,24079346,25175940,26302696,27460374,28486868,29342412,30185988,31043710,31916622,32805534,33704756,34616856,35544976,36477168,37435588,38421740,39412484,40406232,41388328,42394428,43474372,44646516,45890740,47154240,48419544,49679328,50938528,52219692,53514960,54812656,56109844,57415180,58755920,60127352,61558900,63039752,64543524,66083324,67650288,69250472,70944968,72718832,74491928,76249064,77958224,79626088,81285576,82942840,84607504,86261248,87901832,89561376,91252328,92946952,94636704,96337912,98032320,99700112,101325208,103031360,104875272,106738496,108568832,110380800,112190984,113880336,115559008
Poland,24786240,25242280,25704542,26168166,26630358,27099200,27582030,28076088,28583998,29068128,29509902,29913228,30271926,30608320,30927880,31224086,31504832,31765962,32016872,32262060,32482946,32710744,32979398,33270012,33578680,33899768,34229712,34561580,34870696,35188364,35521432,35851104,36188644,36536140,36876560,37179164,37436804,37654412,37812084,37939020,38064252,38167388,38252284,38319300,38375464,38401980,38401408,38396120,38379992,38354952,38504432,38662860,38647476,38621536,38596040,38575912,38547180,38521868,38522884,38555288,38597356,38620848,38625872,38607352,38581880,38553148,38532108,38532816,38521464,38493600,38428368,38307724,39857144
Portugal,8416952,8472651,8523679,8573396,8619179,8665454,8707080,8748070,8799094,8849594,8882476,8896923,8905438,8907704,8905557,8899092,8881846,8856646,8821535,8768163,8683627,8700518,8833265,8957960,9079609,9202708,9330205,9459002,9578264,9686181,9785251,9856749,9904426,9943827,9974817,9996891,10011029,10020209,10023309,10020318,10007347,9986418,9978745,9992104,10018101,10051250,10087653,10130547,10179419,10233373,10300632,10371815,10430913,10473345,10501523,10523314,10543946,10565547,10580963,10591341,10588401,10564820,10522085,10464537,10408379,10365436,10332751,10307528,10289833,10289921,10298186,10290109,10270857
Puerto Rico,2229747,2250412,2269210,2284819,2298020,2309785,2320575,2329617,2336800,2343695,2365078,2404222,2446295,2486864,2526157,2564282,2601200,2636742,2670535,2701799,2737624,2782015,2829188,2876680,2924359,2972272,3020463,3068873,3117176,3166209,3214573,3259448,3301072,3339378,3374438,3406278,3434975,3461929,3487969,3513738,3543785,3578449,3612634,3645019,3675747,3704948,3732817,3759526,3785240,3810114,3827104,3832138,3830775,3825629,3817033,3805560,3791559,3775446,3757617,3738934,3717920,3691615,3657989,3615028,3560008,3497335,3432745,3366407,3319269,3292888,3271570,3256030,3252412
Qatar,24310,25115,25958,26820,27727,28688,29734,30898,32266,33993,36406,40131,45139,50972,57546,64859,73116,82532,93035,104527,118019,133114,148351,163741,179312,195054,211006,227192,243627,260382,277459,294901,312623,330461,348255,365881,382338,397403,412156,426913,441685,456495,471299,486053,500685,515140,529277,550596,581004,613312,645947,678838,713195,748535,777951,848718,1015064,1231904,1444287,1610281,1713512,1804175,1905670,2035509,2214471,2414580,2595175,2711764,2766743,2807242,2760390,2688239,2695131
Reunion,249310,258771,268557,278666,289515,301374,313525,326073,338974,352235,366001,379579,392319,404481,416683,427627,436835,445613,454775,464423,473934,483220,492138,500503,508197,515594,523016,530275,537411,544478,551677,559229,567496,577054,587832,599312,610820,622275,633980,646118,659000,672562,686479,700090,713176,725984,738579,751354,763878,775089,785432,795504,805250,814991,824523,833664,845371,860608,873985,883116,890144,896635,902148,906902,914797,922501,926628,932745,941189,949423,957829,966132,974062
Romania,16392973,16612736,16828590,17041124,17250992,17455292,17668032,17884930,18089940,18282524,18458012,18622908,18770328,18895146,19010056,19117072,19221488,19348540,19515304,19711720,19922620,20145242,20382178,20628254,20889666,21167270,21449642,21678700,21844028,21993496,22125226,22237474,22331062,22403760,22465040,22525364,22587322,22653810,22719092,22788042,22836234,22842488,22800964,22721662,22632776,22533138,22417872,22289540,22161240,22039006,21919882,21797588,21653530,21481322,21289292,21092264,20909406,20744226,20597516,20466318,20335212,20220286,20137112,20066550,19995836,19906078,19797820,19698852,19606778,19524212,19442040,19328558,19659270
Russia,102580112,104151680,105790048,107493128,109221072,110971856,112783336,114590992,116373656,118076840,119735104,121408984,122914608,124227720,125394240,126400608,127293952,128111728,128822376,129489464,130093008,130719656,131456440,132191632,132970440,133841848,134764464,135712064,136659136,137510304,138257424,139002880,139848000,140854112,141892544,142896384,144046480,145312016,146464384,147341504,148005696,148455408,148725600,148897280,148829120,148557456,148233408,147939968,147672720,147336384,146844848,146235520,145590144,144946720,144353648,143800048,143338672,143117680,143086544,143163648,143242592,143364544,143629360,143956864,144285072,144668384,145109152,145452544,145652288,145742288,145617328,145102752,144713312
Rwanda,2154225,2227469,2302460,2378942,2457268,2537918,2620719,2706056,2793071,2880601,2966170,3046663,3122129,3191315,3263644,3348640,3444023,3549463,3662015,3777884,3896371,4015408,4135586,4259492,4386375,4515760,4648207,4783254,4921958,5074375,5247537,5441977,5652908,5859395,6056736,6266756,6497813,6735836,6953975,7141981,7319970,7485683,7657202,7904741,6732668,5686897,6715510,7666742,7914653,8009586,8109994,8223950,8372310,8567993,8791855,9026297,9270073,9523177,9781999,10043736,10309032,10576932,10840331,11101352,11368450,11642963,11930902,12230343,12531810,12835029,13146367,13461891,13776702
Saint Barthlemy,2027,2079,2102,2126,2143,2151,2148,2149,2161,2188,2214,2240,2261,2296,2332,2366,2398,2420,2425,2429,2435,2453,2481,2502,2538,2594,2663,2752,2849,2935,3005,3056,3222,3503,3772,4038,4285,4528,4763,4985,5193,5383,5581,5780,5978,6162,6358,6544,6731,6919,7108,7292,7487,7676,7872,8066,8259,8455,8649,8839,9011,9135,9244,9365,9499,9668,9865,10068,10281,10504,10706,10888,10994
Saint Helena,5249,5299,5325,5341,5347,5333,5322,5329,5352,5369,5390,5411,5439,5461,5480,5488,5512,5559,5632,5703,5780,5872,5947,6026,6086,6149,6188,6245,6315,6365,6421,6475,6540,6596,6637,6676,6705,6717,6700,6670,6633,6591,6541,6482,6429,6367,6312,6251,6183,6115,6048,5971,5875,5771,5664,5557,5448,5338,5282,5306,5338,5377,5410,5446,5480,5520,5533,5521,5494,5470,5448,5428,5401
Saint Kitts and Nevis,47275,48384,49497,50592,51527,52363,53298,54275,55276,56251,56679,56262,55424,54409,53277,52036,50707,49289,47792,46157,44991,44605,44437,44263,44078,43908,43764,43625,43486,43298,43117,42971,42816,42627,42402,42170,41910,41643,41341,41015,40663,40562,40924,41470,42029,42576,43120,43681,44256,44852,45492,46013,46288,46456,46602,46752,46900,47038,47180,47310,47429,47605,47754,47793,47816,47814,47814,47811,47787,47739,47666,47631,47681
Saint Lucia,86716,87330,87546,87787,88101,88481,88934,89449,90049,90695,91629,92783,93843,94905,95965,97042,98142,99268,100427,101623,103108,104798,106474,108136,109757,111511,113445,115398,117414,119480,121651,123929,126208,128455,130640,132770,134820,136792,138676,140471,142315,144287,146433,148610,150574,152368,153982,155472,156872,158272,159513,160611,161814,163060,164252,165394,166476,167524,168584,169694,170950,172157,173139,173992,174814,175638,176429,177175,177894,178594,179245,179663,179872
Saint Martin (French part),2999,3113,3221,3330,3446,3560,3669,3782,3900,4024,4152,4280,4411,4547,4688,4858,5066,5318,5519,5669,5823,5981,6136,6300,6470,6672,6919,7146,7378,7587,7797,7982,8978,11012,13319,15736,18252,20872,23576,26325,28150,28758,29058,29271,29401,29456,29430,29322,29123,29120,29633,30408,31185,31948,32722,33477,34203,34909,35566,36156,36478,36370,36052,35664,35280,35042,34833,34519,33879,33150,32577,31964,31816
Saint Pierre and Miquelon,4497,4534,4590,4647,4703,4750,4776,4790,4851,4910,4945,4944,4951,5013,5093,5171,5256,5332,5405,5483,5562,5654,5750,5846,5931,5970,6007,6040,6080,6108,6126,6114,6104,6150,6205,6253,6289,6322,6344,6343,6345,6374,6396,6423,6430,6439,6436,6415,6365,6319,6300,6283,6264,6228,6186,6135,6105,6090,6085,6077,6075,6066,6048,6027,6013,6001,5990,5980,5969,5952,5930,5905,5885
Saint Vincent and the Grenadines,61563,63423,65383,67441,69609,71837,74181,76671,79273,82001,84157,85683,87202,88662,90067,91515,92976,94402,95775,97147,98478,99718,100867,101941,102966,103897,104727,105516,106252,106896,107499,108209,108989,109700,110344,110925,111406,111789,112098,112334,112507,112802,113235,113639,113965,114187,114301,114290,114177,114009,113832,113653,113466,113119,112621,112056,111443,110836,110333,109852,109324,108722,108105,107469,106934,106493,105971,105568,105297,104940,104644,104340,103959
Samoa,87970,89926,91964,93991,96017,98054,100314,103105,106365,109822,113351,116840,120183,123435,126601,129803,132991,135765,138172,140473,142785,145076,147348,149605,152250,155271,158155,160371,162001,163497,164921,166201,166899,166956,166790,166533,166369,166786,167464,167904,168202,168713,169817,171375,173120,174917,176732,178555,180392,182224,184022,185542,186645,187455,188083,188634,189384,190490,191791,193189,194686,196364,198131,199952,201769,203586,205559,207642,209715,211915,214934,218781,222390
San Marino,12987,13188,13367,13560,13774,13990,14259,14587,14920,15249,15579,15916,16266,16603,16955,17298,17616,17931,18320,18424,18197,18239,18602,19035,19464,19830,20185,20505,20816,21111,21373,21619,21831,21999,22119,22265,22412,22462,22569,22829,23156,23483,23827,24210,24562,24906,25258,25618,26020,26427,26845,27358,27994,28627,29123,29530,29983,30395,30729,31080,31631,32518,33156,33307,33415,33593,33860,34081,34179,34203,34038,33772,33690
Sao Tome and Principe,60993,62065,63046,63882,64635,65312,65933,66476,67009,67555,68061,68723,69533,70290,71009,71745,72584,73585,74756,76075,77601,79246,80850,82488,84205,86055,88096,90318,92673,95034,97225,99186,100949,102664,104514,106624,108978,111627,114528,117458,120355,123101,125663,128195,130679,133094,135423,137672,139801,141823,143729,146271,149852,153774,157714,161697,165739,169859,174019,178145,182154,186058,189936,193765,197511,201142,204640,208050,211358,214612,218650,223118,227393
Saudi Arabia,3089697,3183591,3279349,3377026,3477536,3581915,3690031,3802028,3916802,4036573,4165566,4306057,4458521,4621661,4795133,4978924,5173240,5381032,5604583,5844855,6106192,6396665,6724259,7088765,7483511,7897541,8319558,8755223,9210568,9682002,10171712,10678218,11201155,11746019,12310362,12890250,13483356,14089800,14713717,15353231,16004768,16654283,17281352,17846472,18367526,18888862,19410278,19938380,20472576,21009664,21547398,22085932,22623412,23150850,23661804,24397652,25382870,26400066,27437352,28483800,29411930,30150952,30821554,31482502,32125570,32749838,33416272,34193120,35018132,35827364,35997108,35950396,36408824
Senegal,2496070,2561159,2628513,2698422,2771256,2847264,2926581,3008871,3093946,3182054,3273181,3367088,3463528,3562468,3664603,3770879,3881994,3997871,4117667,4240866,4367747,4498628,4633465,4772044,4911424,5047927,5181204,5308303,5433228,5564468,5703873,5852029,6008391,6171882,6341803,6520707,6710889,6909836,7113639,7321837,7536003,7754296,7974512,8196551,8417001,8632684,8843426,9051545,9261531,9478565,9704291,9938028,10180944,10434505,10698699,10974066,11263389,11563878,11872933,12195028,12530128,12875878,13231840,13595571,13970314,14356191,14751356,15157793,15574910,16000783,16436120,16876726,17316452
Serbia,6017687,6081258,6147422,6222778,6290133,6348550,6400668,6445401,6487264,6530869,6579987,6643717,6711537,6776518,6840008,6902986,6966323,7026788,7084581,7140606,7193540,7242806,7296104,7355438,7416618,7479841,7544260,7607999,7669223,7726494,7777013,7814393,7841807,7866039,7889240,7912073,7931910,7948309,7963944,7977876,7987530,7964455,7943504,7957074,7969952,7982463,7993447,7997524,7985509,7959748,7935023,7917792,7904272,7887466,7863399,7830944,7794792,7758181,7722801,7688037,7653749,7620925,7591357,7566674,7543965,7519501,7493288,7464882,7433825,7401056,7358010,7296771,7221365
Seychelles,38129,38322,38600,38941,39342,39811,40349,40966,41635,42369,43186,44064,44990,45985,47050,48142,49302,50543,51831,53120,54401,55710,57070,58378,59640,60966,62199,63183,63996,64686,65310,65951,66453,66879,67363,67854,68343,68925,69605,70360,71073,71773,72435,73057,73863,74753,75570,76554,77683,78848,80073,81278,82448,83613,84733,85907,87110,88339,89660,91046,92424,93842,95319,96730,98016,99260,100521,101828,103120,104386,105545,106486,107135
Sierra Leone,2000793,2026726,2053044,2079382,2106630,2135649,2166120,2197814,2230007,2264051,2301315,2341068,2382920,2426751,2472694,2520585,2569738,2620402,2672375,2724909,2778561,2832401,2886639,2942336,2998854,3055919,3112868,3172202,3235172,3300032,3367486,3437109,3509202,3585781,3666263,3749425,3842925,3947870,4056222,4159166,4325390,4378175,4301575,4295693,4314956,4324151,4347381,4405034,4449981,4475156,4584074,4857106,5140120,5350917,5533329,5683338,5809778,5939169,6090861,6259845,6436699,6612390,6788594,6964867,7140700,7314779,7493918,7677570,7861287,8046830,8233973,8420642,8605723
Singapore,1006712,1048942,1096241,1148757,1206225,1267618,1332586,1400704,1469695,1538026,1601091,1657557,1711060,1762518,1812335,1860652,1906851,1950286,1990680,2027412,2061833,2095907,2131574,2168370,2202332,2232434,2261945,2292169,2323256,2358236,2400734,2451730,2507222,2564775,2624375,2685987,2749737,2814749,2880509,2945697,3022218,3120627,3228234,3334134,3438616,3543878,3651905,3760649,3866296,3966485,4053602,4121341,4176799,4226417,4270407,4344645,4486581,4663262,4838404,5010707,5163585,5281351,5381003,5478063,5570505,5650020,5711936,5764489,5814543,5866408,5909874,5941063,5975689
